,SPY,EFA,EEM,AGG,LQD,IEF,SHY,Strategy,Remain,Price,Volume
2021-01-26 00:00:00-05:00,3.1371127243594534,2.604922461090968,4.753278142315672,0.0962363734958101,0.31876273902414587,-0.08919934121025756,0.04451272036571721,1,12618.339559143296,52.713746291911164,{'eem': 239.0}
2021-02-25 00:00:00-05:00,1.2800448610836395,1.1317563270709325,1.4318446202422463,-0.40947946499513493,-0.5992265165360751,-0.6866794236907422,-0.0018643469308367924,-1,12581.588677443562,83.01282067542721,{'shy': 151.0}
2021-03-27 01:00:00-04:00,4.25765300165744,4.769036207418859,4.093846448714401,-0.40636090251055296,-0.37494714343411495,-1.0277602824802552,0.0071378382074451675,-1,12532.758639416908,83.01183044564203,{'shy': 151.0}
2021-04-26 01:00:00-04:00,2.7166509442649063,2.5368672769131435,2.2392957088207046,0.027324832439469156,0.22953357837581276,-0.19359628125162665,-0.0022273365951860414,1,12535.63778972807,404.01328363847904,{'spy': 31.0}
2021-05-26 01:00:00-04:00,2.1196894529235664,2.4776281013360952,1.7456926353373663,-0.027939772571648966,0.1290996844789711,-0.22821601046530016,0.021437535554652394,-1,12682.442491719892,123.68346505086973,{'lqd': 102.0}
2021-06-25 01:00:00-04:00,1.6279007275420578,1.2840479860060832,1.352587232251667,0.07425267768490412,0.38407240571067164,-0.017102082496801584,-0.03598482582075792,1,12992.178477338059,424.13304672847937,{'spy': 30.0}
2021-07-25 01:00:00-04:00,1.65271528263957,0.8942879464729852,-0.23017471856824895,0.19447982055803034,0.3967224940091445,0.2484689403444545,0.021482790875828404,-1,12934.428937411554,125.59091186523438,{'lqd': 103.0}
2021-08-24 01:00:00-04:00,1.551393906415703,1.105924943544916,0.24421291388193872,0.06955163991391035,0.16518679567162992,0.04685822897094886,-0.009109216128251139,1,12614.888608781503,423.77044070077534,{'spy': 29.0}
2021-09-23 01:00:00-04:00,0.7467363344941109,0.65550197616273,-0.07541899791915874,0.07691536272513362,0.2709081261970354,-0.021641476336462975,-0.006418111357145989,-1,12295.396830490628,123.13477075171758,{'lqd': 100.0}
2021-10-23 01:00:00-04:00,0.9099285752486344,0.4425547084471088,0.40502070323567235,-0.18036965948461442,-0.2442491507588883,-0.32187888654778557,-0.06524526220636614,-1,12241.614307568667,82.64977980392723,{'shy': 148.0}
2021-11-22 00:00:00-05:00,3.7653493117610686,1.2533652234138235,-1.085113044876707,0.1935753957824331,0.646793540791498,0.052321463561856976,-0.10731765283709341,-1,12217.208442956333,123.72967704469556,{'lqd': 98.0}
2021-12-22 00:00:00-05:00,1.5089926723483011,0.38185494069220693,-0.8545747417062406,0.17155916001096538,0.41664360642510745,0.2784785605085481,-0.05176779147290449,-1,11750.695390414901,120.06701297964779,{'lqd': 98.0}
2022-01-21 00:00:00-05:00,0.11031968848775481,0.006742751083345912,-0.438206582031127,-0.25070298102422667,-0.2875846081535551,-0.33337150930876036,-0.13764424165110717,-1,11616.370227802492,81.45064168504754,{'shy': 142.0}
2022-02-20 00:00:00-05:00,-0.017985776363356798,-0.2569952151356901,-0.42843862773981656,-0.43418327161795445,-0.7812227791384437,-0.323372053003909,-0.19801652429699906,-1,11471.73608438487,80.6790593760317,{'shy': 142.0}
2022-03-22 01:00:00-04:00,-0.3013448851788523,-1.3423353069849049,-1.9238021771836329,-1.2632166963310991,-1.9048283777955983,-1.2922906470033146,-0.5116603859776244,-1,11365.294171137251,80.10125476409775,{'shy': 142.0}
2022-04-21 01:00:00-04:00,-0.3728795044239571,-0.8880448331523496,-1.7888601831296935,-1.1001974805248353,-1.600598890571274,-1.2512235241177048,-0.32633932748865924,-1,11369.633669894503,80.32236886211302,{'shy': 141.0}
2022-05-21 01:00:00-04:00,-2.065371860755289,-1.5233912872609352,-1.693801276083101,-0.6077234575388158,-1.129368174914917,-0.49955963774652146,-0.1477457199436361,-1,11225.077493007017,79.61218977623261,{'shy': 141.0}
2022-06-20 01:00:00-04:00,-2.1246724201627423,-2.258510169618347,-1.508786399484183,-0.8483649197359682,-1.0909110777228377,-0.9677196298089928,-0.27331851367158955,-1,11210.736847297787,79.7607455442139,{'shy': 140.0}
2022-07-20 01:00:00-04:00,-0.18000779196330546,-0.9162146138270757,-1.311600494942648,-0.13395130528297708,-0.21342779660108546,-0.09054142841266409,-0.11206971109597115,-1,11323.601238247986,99.98976979931734,{'ief': 113.0}
